iter	Passed	Remaining
0	59	59752
1	60	30031
2	60	20103
3	60	15141
4	61	12199
5	61	10215
6	61	8786
7	62	7724
8	62	6909
9	63	6240
10	63	5698
11	63	5244
12	64	4861
13	64	4530
14	64	4242
15	65	3999
16	65	3775
17	65	3577
18	65	3400
19	66	3245
20	66	3104
21	66	2972
22	67	2852
23	67	2742
24	67	2640
25	67	2546
26	68	2459
27	68	2378
28	68	2302
29	69	2232
30	69	2167
31	69	2105
32	69	2048
33	70	1994
34	70	1943
35	70	1895
36	71	1850
37	71	1807
38	71	1766
39	72	1732
40	72	1696
41	72	1661
42	73	1628
43	73	1596
44	73	1566
45	74	1536
46	74	1508
47	74	1480
48	74	1454
49	75	1429
50	75	1405
51	75	1383
52	76	1361
53	76	1339
54	76	1317
55	76	1297
56	77	1277
57	77	1259
58	77	1241
59	78	1224
60	78	1207
61	78	1190
62	79	1175
63	79	1160
64	79	1144
65	79	1130
66	80	1116
67	80	1103
68	80	1090
69	81	1077
70	81	1064
71	81	1055
72	82	1044
73	82	1034
74	83	1024
75	83	1014
76	83	1003
77	84	993
78	84	983
79	84	973
80	84	963
81	85	954
82	85	943
83	85	934
84	85	925
85	86	916
86	86	908
87	86	899
88	87	891
89	87	882
90	87	875
91	87	867
92	88	859
93	88	852
94	88	845
95	89	839
96	89	833
97	89	826
98	90	819
99	90	813
100	90	807
101	90	800
102	91	794
103	91	788
104	91	782
105	92	776
106	92	770
107	92	764
108	92	759
109	93	753
110	93	748
111	93	743
112	94	738
113	94	734
114	94	730
115	95	724
116	95	719
117	95	714
118	95	709
119	96	704
120	96	699
121	96	694
122	96	690
123	97	685
124	97	681
125	97	676
126	97	671
127	98	667
128	98	664
129	98	659
130	98	655
131	99	652
132	99	649
133	100	646
134	100	643
135	100	639
136	100	635
137	101	633
138	101	629
139	101	626
140	102	623
141	102	618
142	102	615
143	103	612
144	103	609
145	103	605
146	103	602
147	104	599
148	104	596
149	104	592
150	104	589
151	105	587
152	105	584
153	105	581
154	106	578
155	106	575
156	106	572
157	106	569
158	107	566
159	107	563
160	107	560
161	107	557
162	108	554
163	108	552
164	108	549
165	108	547
166	109	544
167	109	542
168	109	540
169	110	537
170	110	535
171	110	533
172	111	531
173	111	528
174	111	526
175	111	524
176	112	521
177	112	519
178	112	517
179	113	515
180	113	512
181	113	510
182	113	508
183	114	506
184	114	504
185	114	502
186	114	499
187	115	497
188	115	495
189	115	493
190	116	491
191	116	489
192	116	487
193	116	485
194	117	483
195	117	481
196	117	480
197	118	478
198	118	476
199	118	474
200	118	472
201	119	470
202	119	469
203	119	467
204	120	465
205	120	463
206	120	461
207	120	460
208	121	458
209	121	456
210	121	454
211	121	453
212	122	451
213	122	449
214	122	448
215	122	446
216	123	444
217	123	443
218	123	441
219	124	439
220	124	438
221	124	436
222	124	435
223	125	433
224	125	432
225	125	430
226	126	429
227	126	427
228	126	426
229	126	424
230	127	423
231	127	421
232	127	420
233	127	418
234	128	417
235	128	415
236	128	414
237	128	412
238	129	411
239	129	409
240	129	408
241	129	407
242	130	405
243	130	404
244	130	403
245	131	401
246	131	400
247	131	398
248	131	397
249	132	396
250	132	395
251	132	393
252	132	392
253	133	391
254	133	389
255	133	388
256	133	387
257	134	386
258	134	384
259	134	383
260	135	382
261	135	381
262	135	380
263	135	378
264	136	377
265	136	376
266	136	375
267	136	374
268	137	372
269	137	371
270	137	370
271	138	369
272	138	368
273	138	367
274	138	366
275	139	364
276	139	363
277	139	362
278	139	361
279	140	360
280	140	359
281	140	358
282	141	357
283	141	356
284	141	355
285	142	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	349
292	144	348
293	144	347
294	144	346
295	145	345
296	145	344
297	145	343
298	145	342
299	146	341
300	146	340
301	146	339
302	147	338
303	147	337
304	147	336
305	147	335
306	148	334
307	148	333
308	148	332
309	149	331
310	149	330
311	149	329
312	149	328
313	150	327
314	150	326
315	150	325
316	150	324
317	151	324
318	151	323
319	151	322
320	151	321
321	152	320
322	152	319
323	152	318
324	152	317
325	153	316
326	153	315
327	153	314
328	153	313
329	154	313
330	154	312
331	154	311
332	155	310
333	155	309
334	155	308
335	155	308
336	156	307
337	156	306
338	157	306
339	157	305
340	157	304
341	157	303
342	158	302
343	158	302
344	159	301
345	159	301
346	159	300
347	159	299
348	160	298
349	160	297
350	160	297
351	160	296
352	161	295
353	161	294
354	161	293
355	162	293
356	162	292
357	162	291
358	162	290
359	163	289
360	163	289
361	163	288
362	163	287
363	164	286
364	164	286
365	164	285
366	164	284
367	165	283
368	165	282
369	165	282
370	166	281
371	166	280
372	166	279
373	166	279
374	167	278
375	167	277
376	167	276
377	167	276
378	168	275
379	168	274
380	168	273
381	168	273
382	169	272
383	169	271
384	169	270
385	169	270
386	170	269
387	170	268
388	170	267
389	170	267
390	171	266
391	171	265
392	171	265
393	172	264
394	172	263
395	172	263
396	172	262
397	173	262
398	173	261
399	173	260
400	173	259
401	174	259
402	174	258
403	174	257
404	175	257
405	175	256
406	175	255
407	175	255
408	176	254
409	176	253
410	176	253
411	176	252
412	177	251
413	177	251
414	177	250
415	177	249
416	178	249
417	178	248
418	178	247
419	178	247
420	179	246
421	179	245
422	179	245
423	180	244
424	180	243
425	180	243
426	180	242
427	181	241
428	181	241
429	181	240
430	181	240
431	182	239
432	182	238
433	182	238
434	182	237
435	183	236
436	183	236
437	183	235
438	183	234
439	184	234
440	184	233
441	184	232
442	184	232
443	185	231
444	185	231
445	185	230
446	185	229
447	186	229
448	186	228
449	186	228
450	187	227
451	187	227
452	188	227
453	189	227
454	189	226
455	189	226
456	189	225
457	190	225
458	190	224
459	190	224
460	191	223
461	191	222
462	191	222
463	191	221
464	192	221
465	192	220
466	192	220
467	193	219
468	193	218
469	193	218
470	193	217
471	194	217
472	194	216
473	194	216
474	195	215
475	195	215
476	195	214
477	195	213
478	196	213
479	196	212
480	196	212
481	197	211
482	197	211
483	197	210
484	197	210
485	198	209
486	198	209
487	198	208
488	199	208
489	199	207
490	199	207
491	199	206
492	200	205
493	200	205
494	200	204
495	201	204
496	201	203
497	201	203
498	201	202
499	202	202
500	202	201
501	202	201
502	203	200
503	203	200
504	203	199
505	203	199
506	204	198
507	204	198
508	205	197
509	205	197
510	205	196
511	206	196
512	206	195
513	206	195
514	207	195
515	207	194
516	207	194
517	208	193
518	208	193
519	208	192
520	209	192
521	209	191
522	209	191
523	210	191
524	210	190
525	221	199
526	222	199
527	222	199
528	222	198
529	223	197
530	223	197
531	223	196
532	224	196
533	224	195
534	224	195
535	224	194
536	225	194
537	225	193
538	225	193
539	225	192
540	226	191
541	226	191
542	226	190
543	227	190
544	227	189
545	227	189
546	227	188
547	228	188
548	228	187
549	228	187
550	228	186
551	229	185
552	229	185
553	229	184
554	229	184
555	230	183
556	230	183
557	230	182
558	230	182
559	231	181
560	231	181
561	231	180
562	231	180
563	232	179
564	232	178
565	232	178
566	233	177
567	233	177
568	233	176
569	233	176
570	234	175
571	234	175
572	234	174
573	234	174
574	235	173
575	235	173
576	235	172
577	235	172
578	236	171
579	236	171
580	236	170
581	237	170
582	237	169
583	237	169
584	237	168
585	238	168
586	238	167
587	238	167
588	238	166
589	239	166
590	239	165
591	239	165
592	239	164
593	240	164
594	240	163
595	240	163
596	240	162
597	241	162
598	241	161
599	241	161
600	241	160
601	242	160
602	242	159
603	242	159
604	243	158
605	243	158
606	243	157
607	243	157
608	244	156
609	244	156
610	244	155
611	244	155
612	245	154
613	245	154
614	245	153
615	245	153
616	246	152
617	246	152
618	246	151
619	246	151
620	247	150
621	247	150
622	247	149
623	247	149
624	248	148
625	248	148
626	248	147
627	248	147
628	249	146
629	249	146
630	249	146
631	249	145
632	250	145
633	250	144
634	250	144
635	251	143
636	251	143
637	251	142
638	251	142
639	252	141
640	252	141
641	252	140
642	252	140
643	253	139
644	253	139
645	253	138
646	253	138
647	254	138
648	254	137
649	254	137
650	254	136
651	255	136
652	255	135
653	255	135
654	255	134
655	256	134
656	256	133
657	256	133
658	256	132
659	257	132
660	257	132
661	257	131
662	258	131
663	258	130
664	258	130
665	258	129
666	259	129
667	259	128
668	259	128
669	259	127
670	260	127
671	260	127
672	260	126
673	260	126
674	261	125
675	261	125
676	261	124
677	261	124
678	262	123
679	262	123
680	262	123
681	262	122
682	263	122
683	263	121
684	263	121
685	263	120
686	264	120
687	264	119
688	264	119
689	264	119
690	265	118
691	265	118
692	265	117
693	265	117
694	266	116
695	266	116
696	266	115
697	266	115
698	267	115
699	267	114
700	267	114
701	268	113
702	268	113
703	268	112
704	268	112
705	268	112
706	269	111
707	269	111
708	269	110
709	270	110
710	270	109
711	270	109
712	270	109
713	271	108
714	271	108
715	271	107
716	271	107
717	272	106
718	272	106
719	272	105
720	272	105
721	273	105
722	273	104
723	273	104
724	273	103
725	274	103
726	274	103
727	274	102
728	274	102
729	275	101
730	275	101
731	275	100
732	275	100
733	276	100
734	276	99
735	276	99
736	276	98
737	277	98
738	277	97
739	277	97
740	277	97
741	278	96
742	278	96
743	278	95
744	278	95
745	279	95
746	279	94
747	279	94
748	280	93
749	280	93
750	280	93
751	280	92
752	281	92
753	281	91
754	281	91
755	281	90
756	282	90
757	282	90
758	282	89
759	282	89
760	283	88
761	283	88
762	283	88
763	283	87
764	284	87
765	284	86
766	284	86
767	284	86
768	285	85
769	285	85
770	285	84
771	285	84
772	286	84
773	286	83
774	286	83
775	287	82
776	287	82
777	287	82
778	287	81
779	288	81
780	288	80
781	288	80
782	288	80
783	289	79
784	289	79
785	289	78
786	289	78
787	290	78
788	290	77
789	290	77
790	290	76
791	291	76
792	291	76
793	291	75
794	291	75
795	292	74
796	292	74
797	292	74
798	292	73
799	293	73
800	293	72
801	293	72
802	293	72
803	294	71
804	294	71
805	294	70
806	295	70
807	295	70
808	295	69
809	295	69
810	296	69
811	296	68
812	296	68
813	296	67
814	297	67
815	297	67
816	297	66
817	297	66
818	298	65
819	298	65
820	298	65
821	299	64
822	299	64
823	299	63
824	299	63
825	300	63
826	300	62
827	300	62
828	300	62
829	301	61
830	301	61
831	301	60
832	301	60
833	302	60
834	302	59
835	302	59
836	303	59
837	303	58
838	303	58
839	303	57
840	304	57
841	304	57
842	304	56
843	304	56
844	305	55
845	305	55
846	305	55
847	306	54
848	306	54
849	306	54
850	306	53
851	307	53
852	307	52
853	307	52
854	307	52
855	308	51
856	308	51
857	308	51
858	308	50
859	309	50
860	309	49
861	309	49
862	309	49
863	310	48
864	310	48
865	310	48
866	310	47
867	311	47
868	311	46
869	311	46
870	311	46
871	312	45
872	312	45
873	312	45
874	313	44
875	313	44
876	313	43
877	313	43
878	314	43
879	314	42
880	314	42
881	314	42
882	315	41
883	315	41
884	315	41
885	315	40
886	316	40
887	316	39
888	316	39
889	316	39
890	317	38
891	317	38
892	317	38
893	317	37
894	318	37
895	318	36
896	318	36
897	319	36
898	319	35
899	319	35
900	319	35
901	320	34
902	320	34
903	320	34
904	320	33
905	321	33
906	321	32
907	321	32
908	321	32
909	322	31
910	322	31
911	322	31
912	323	30
913	323	30
914	323	30
915	323	29
916	324	29
917	324	28
918	324	28
919	325	28
920	325	27
921	325	27
922	325	27
923	326	26
924	326	26
925	326	26
926	327	25
927	327	25
928	327	25
929	327	24
930	328	24
931	328	23
932	328	23
933	329	23
934	329	22
935	329	22
936	329	22
937	330	21
938	330	21
939	330	21
940	330	20
941	331	20
942	331	20
943	331	19
944	331	19
945	332	18
946	332	18
947	332	18
948	333	17
949	333	17
950	333	17
951	333	16
952	334	16
953	334	16
954	334	15
955	334	15
956	335	15
957	335	14
958	335	14
959	336	14
960	336	13
961	336	13
962	336	12
963	337	12
964	337	12
965	337	11
966	337	11
967	338	11
968	338	10
969	338	10
970	339	10
971	339	9
972	339	9
973	339	9
974	340	8
975	340	8
976	340	8
977	340	7
978	341	7
979	341	6
980	341	6
981	342	6
982	342	5
983	342	5
984	342	5
985	343	4
986	343	4
987	343	4
988	344	3
989	344	3
990	344	3
991	344	2
992	345	2
993	345	2
994	345	1
995	345	1
996	346	1
997	346	0
998	346	0
999	346	0
